symbol,date,1. open,2. high,3. low,4. close,5. volume
AVGO,2022-05-06,557.14,604.07,556.38,580.1,12076269
AVGO,2022-04-29,581.49,588.76,553.395,554.39,13014593
AVGO,2022-04-22,572.85,615.87,572.85,586.95,9326705
AVGO,2022-04-14,582.58,598.585,572.86,573.85,8851464
AVGO,2022-04-08,626.425,636.72,585.97,587.0,9669076
AVGO,2022-04-01,625.88,645.31,615.78,626.98,9405355
AVGO,2022-03-25,605.6,630.405,588.86,628.87,9840736
AVGO,2022-03-18,576.96,613.21,564.75,610.41,14047733
AVGO,2022-03-11,597.08,601.635,563.61,577.85,11518571
AVGO,2022-03-04,581.0,605.91,565.3,595.99,14289018
AVGO,2022-02-25,579.99,590.21,549.02,588.01,10010452
AVGO,2022-02-18,575.0,606.039,570.07,579.99,11763877
AVGO,2022-02-11,590.16,614.64,569.075,573.42,10744855
AVGO,2022-02-04,559.4,604.8,556.0,590.16,14160152
AVGO,2022-01-28,530.89,574.17,513.4,560.1,20660353
AVGO,2022-01-21,588.32,591.04,531.34,533.23,12144144
AVGO,2022-01-14,608.86,630.99,592.0,596.37,12333790
AVGO,2022-01-07,666.317,672.1862,618.46,619.15,13507641
AVGO,2021-12-31,664.8,677.76,663.27,665.41,7473146
AVGO,2021-12-23,626.3,670.73,625.09,664.8,12128354
AVGO,2021-12-17,634.0,640.86,605.64,634.96,18544785
AVGO,2021-12-10,564.6474,644.7499,555.95,631.68,15620826
AVGO,2021-12-03,556.2,569.0,544.0,558.12,10618993
AVGO,2021-11-26,571.68,572.04,543.3201,546.59,6931673
AVGO,2021-11-19,567.69,577.21,559.8301,568.72,7204302
AVGO,2021-11-12,561.97,565.84,548.05,563.22,7919776
AVGO,2021-11-05,530.336,559.67,524.93,558.92,8168960
AVGO,2021-10-29,517.49,536.07,515.18,531.67,8739844
AVGO,2021-10-22,500.39,521.38,498.66,515.41,7303811
AVGO,2021-10-15,491.24,505.86,479.55,503.25,9294149
AVGO,2021-10-08,484.9304,499.9,472.78,492.85,7223323
AVGO,2021-10-01,499.7756,505.82,477.5,487.35,7752589
AVGO,2021-09-24,499.0,507.29,487.0,504.92,9663032
AVGO,2021-09-17,502.0,510.7,493.2605,506.0,10444855
AVGO,2021-09-10,497.6,505.99,488.11,498.15,5567151
AVGO,2021-09-03,500.0,507.85,490.16,497.68,9190709
AVGO,2021-08-27,476.33,496.4447,475.695,495.94,6245198
AVGO,2021-08-20,484.83,488.9118,462.66,475.17,6535767
AVGO,2021-08-13,486.49,488.97,476.731,486.16,4233990
AVGO,2021-08-06,489.05,494.6,479.96,485.43,5721801
AVGO,2021-07-30,482.16,486.34,467.8001,485.4,5489168
AVGO,2021-07-23,463.48,483.58,457.5901,483.15,7540041
AVGO,2021-07-16,481.32,494.02,467.26,468.07,8557429
AVGO,2021-07-09,470.4,480.88,461.56,480.18,5924815
AVGO,2021-07-02,466.0,478.59,455.71,468.17,9176605
